regiao,area,quartos,banheiros,garagens,condominio,aluguel
aguas-claras,156,4,4,2,1018,4800
aguas-claras,186,4,2,3,1072,4500
aguas-claras,3636,1,1,1,333,1550
aguas-claras,55,2,1,1,80,800
aguas-claras,40,1,1,1,342,1100
aguas-claras,200,,2,,,12500
aguas-claras,62,2,2,1,420,3100
aguas-claras,407,,3,1,,12210
aguas-claras,34,1,1,1,350,1750
aguas-claras,62,2,2,1,600,3450
aguas-claras,1000,,1,,1554,12000
aguas-claras,91,2,1,,,5000
aguas-claras,62,2,2,1,493,2700
aguas-claras,4000,,1,,1995,11428
aguas-claras,168,3,6,2,1632,5500
aguas-claras,135,3,5,2,690,4900
aguas-claras,58,1,1,1,469,1700
aguas-claras,1000,,1,,969,12500
aguas-claras,65,1,,1,340,1750
aguas-claras,505,,1,,4032,21700
aguas-claras,147,3,3,3,770,3800
aguas-claras,110,3,2,1,,3000
aguas-claras,106,2,1,1,650,2600
aguas-claras,66,2,3,1,,3100
aguas-claras,69,2,2,2,740,2800
aguas-claras,32,,1,1,,1344
aguas-claras,120,3,3,2,928,4600
aguas-claras,120,3,3,1,867,4000
aguas-claras,71,3,2,1,745,2800
aguas-claras,28,1,1,1,310,1000
aguas-claras,35,1,1,1,260,1000
aguas-claras,73,2,2,1,411,2300
aguas-claras,110,,,,,6000
aguas-claras,63,2,2,1,408,2200
aguas-claras,55,2,2,1,468,1900
aguas-claras,1600,,,,,50000
aguas-claras,35,1,1,1,261,1200
aguas-claras,100000,,1,1,199,1300
aguas-claras,373,,,,,20000
aguas-claras,40,1,1,1,430,1600
aguas-claras,46,1,,1,377,1650
aguas-claras,199,3,,1,678,2750
aguas-claras,41,1,1,1,227,1150
aguas-claras,57,,2,,580,4800
aguas-claras,177,3,5,2,909,9000
aguas-claras,70,2,2,1,460,2900
aguas-claras,46,1,,1,377,1650
aguas-claras,111,3,1,2,673,2700
aguas-claras,99,,3,3,1200,4900
aguas-claras,47,1,2,1,459,1990
aguas-claras,35,1,1,1,261,1200
aguas-claras,83,2,2,2,716,2500
aguas-claras,74,2,1,1,543,2000
aguas-claras,30,1,1,1,406,850
aguas-claras,85,3,3,2,678,2600
aguas-claras,120,2,3,2,,3200
aguas-claras,63,2,,1,443,2600
aguas-claras,843,,,,,42000
aguas-claras,55,2,2,1,468,1900
aguas-claras,28,,1,1,320,1350
aguas-claras,50,2,1,,,1800
aguas-claras,45,1,1,1,250,1290
aguas-claras,55,,1,1,,5000
aguas-claras,70,2,2,,507,2100
aguas-claras,99,,3,3,1200,4900
aguas-claras,50,2,1,,,1800
aguas-claras,35,1,1,1,212,780
aguas-claras,393,,,,5300,21700
aguas-claras,34,1,1,1,322,800
aguas-claras,41,1,1,,,1300
aguas-claras,31,1,1,1,,1500
aguas-claras,111,,1,,,16000
aguas-claras,31,1,1,1,330,1490
aguas-claras,63,2,,1,443,2600
aguas-claras,31,1,1,1,330,1350
aguas-claras,47,1,2,1,459,1990
aguas-claras,57,,2,,580,4800
aguas-claras,106,3,3,1,852,3700
aguas-claras,490,,6,4,3150,17000
aguas-claras,24,1,1,1,672,1200
aguas-claras,85,3,3,2,678,2600
aguas-claras,58,2,2,1,550,2200
aguas-claras,117,3,2,2,700,2890
aguas-claras,70,,2,1,,2967
aguas-claras,74,2,1,1,543,2000
aguas-claras,120,2,3,2,,3200
aguas-claras,90,2,3,1,689,3000
aguas-claras,33,,1,1,,1336
aguas-claras,61,,1,1,,2440
aguas-claras,114,3,3,1,966,3000
aguas-claras,440,,,,,24000
aguas-claras,29,1,1,1,380,850
aguas-claras,108,,2,1,760,4500
aguas-claras,28,,1,1,320,1350
aguas-claras,60,2,2,1,691,2200
aguas-claras,447,,,,5900,24600
aguas-claras,83,2,2,2,716,2500
aguas-claras,29000,1,1,1,199,1299
aguas-claras,120,3,3,1,816,3300
aguas-claras,120,,1,,1100,9500
aguas-claras,45,1,1,1,250,1290
aguas-claras,27,1,1,1,550,1250
aguas-claras,2000,,1,,1680,9066
aguas-claras,1,,1,,875,5033
aguas-claras,75,3,1,2,807,3200
aguas-claras,32,1,1,,306,1100
aguas-claras,33,1,1,1,354,1950
aguas-claras,83,2,3,1,679,2600
aguas-claras,44,,,,1070,2600
aguas-claras,1,,1,,875,5033
aguas-claras,,,,1,48,100
aguas-claras,150,,2,,1200,12000
aguas-claras,37,1,1,1,360,1800
aguas-claras,75,3,1,2,807,3200
aguas-claras,32,1,1,1,364,1000
aguas-claras,70,3,3,1,550,2800
aguas-claras,1912,,,,,80000
aguas-claras,300,,,,,28000
aguas-claras,843,,3,,,42000
aguas-claras,34,,1,,445,1300
aguas-claras,2000,,1,,1680,9066
aguas-claras,31,1,1,1,380,1050
aguas-claras,50,,1,,306,3000
aguas-claras,129,3,1,2,810,1000
aguas-claras,33,1,,1,350,1500
aguas-claras,27,1,1,1,550,1250
aguas-claras,116,3,2,2,627,3800
aguas-claras,33,1,1,1,350,1350
aguas-claras,140,3,3,1,539,2900
aguas-claras,94,3,2,1,680,2700
aguas-claras,30,1,1,1,426,1000
aguas-claras,50,,1,,,432
aguas-claras,70,2,2,1,513,2500
aguas-claras,137,2,2,1,530,2500
aguas-claras,225,3,3,2,390,5500
aguas-claras,106,3,2,1,824,4050
aguas-claras,30,,1,,1400,900
aguas-claras,52,1,1,,120,700
aguas-claras,177,3,5,2,877,9500
aguas-claras,35,,1,1,501,1700
aguas-claras,44,1,1,1,399,1500
aguas-claras,880,,4,,,14000
aguas-claras,35,,1,1,,1200
aguas-claras,36,1,1,1,,1700
aguas-claras,40,1,1,1,258,1350
aguas-claras,100,2,2,1,518,2200
aguas-claras,35,1,1,1,292,1000
aguas-claras,35,1,1,1,385,900
aguas-claras,47,1,,1,380,1600
aguas-claras,61,2,2,1,398,2100
aguas-claras,98,2,2,1,630,2500
aguas-claras,33,1,1,1,352,1790
aguas-claras,450,,,,,13000
aguas-claras,4,,,1,56,250
aguas-claras,60,,2,2,500,1600
aguas-claras,32,1,1,1,374,1100
aguas-claras,576,,1,,,28800
aguas-claras,37,1,1,1,360,1600
aguas-claras,60,1,2,1,434,1600
aguas-claras,49,1,1,1,329,1800
aguas-claras,73,3,2,1,362,1500
aguas-claras,55,1,2,1,463,1600
aguas-claras,96,3,3,1,,2800
aguas-claras,37,1,1,1,370,1800
aguas-claras,36,1,1,1,324,1300
aguas-claras,36,1,1,1,320,1000
aguas-claras,29,,1,,382,3000
aguas-claras,34,1,1,1,320,1000
asa-norte,38,1,1,1,1200,1275
asa-norte,58,1,2,1,1560,2700
asa-norte,33,1,1,1,430,1100
asa-norte,28,1,1,1,663,1991
asa-norte,30,1,1,1,426,1100
asa-norte,75,2,2,1,1325,6500
asa-norte,25,,1,,250,1100
asa-norte,30,1,1,,1000,1208
asa-norte,60,2,2,1,1220,3500
asa-norte,28,1,1,1,250,1080
asa-norte,30,1,1,1,376,1000
asa-norte,159,2,3,2,1018,5000
asa-norte,25,,1,,250,1100
asa-norte,30,1,1,1,669,2150
asa-norte,27,1,1,1,1200,1105
asa-norte,123,3,3,1,1200,4200
asa-norte,99,3,2,2,,7400
asa-norte,27,1,1,1,293,1100
asa-norte,80,3,2,,577,3400
asa-norte,198,4,4,3,1898,8800
asa-norte,27,1,1,1,410,750
asa-norte,28,1,1,,295,700
asa-norte,95,2,2,,510,2750
asa-norte,40,2,1,,,900
asa-norte,63,2,2,,638,2100
asa-norte,40,1,1,,,2950
asa-norte,109,3,3,1,480,3900
asa-norte,49,1,1,1,447,2300
asa-norte,50,1,1,1,415,1700
asa-norte,27,1,1,1,334,900
asa-norte,71,1,1,,1490,2500
asa-norte,85,2,,,650,3000
asa-norte,54,2,2,1,467,2800
asa-norte,25,1,1,1,393,900
asa-norte,32,1,1,,280,1000
asa-norte,72,1,1,,1597,3000
asa-norte,33,1,1,,272,800
asa-norte,30,1,1,1,230,1100
asa-norte,50,1,1,,380,1800
asa-norte,65,2,1,1,700,2600
asa-norte,99,3,2,2,1800,9000
asa-norte,71,1,1,,1490,4200
asa-norte,51,2,1,1,,2800
asa-norte,30,1,1,,190,850
asa-norte,38,1,1,,369,980
asa-norte,26,1,,,355,780
asa-norte,30,1,1,,185,750
asa-norte,52,1,1,1,354,1200
asa-norte,123,3,2,1,1000,4100
asa-norte,27,1,,1,250,1500
asa-norte,65,1,1,1,423,950
asa-norte,28,1,1,1,354,1000
asa-norte,50,1,1,,,2600
asa-norte,37,1,1,,999,2021
asa-norte,96,2,2,2,,8500
asa-norte,40,2,1,,,900
asa-norte,184,4,3,1,1000,4100
asa-norte,51,1,1,1,,2800
asa-norte,46,1,1,,,2400
asa-norte,35,1,,,750,1400
asa-norte,55,2,1,,436,2500
asa-norte,35,1,1,,494,2000
asa-norte,35,1,1,,333,850
asa-norte,60,2,2,1,1220,3500
asa-norte,34,1,1,,,1200
asa-norte,202,3,2,2,830,6200
asa-norte,30,1,1,,202,850
asa-norte,35,1,1,,200,1400
asa-norte,35,1,1,,442,1220
asa-norte,175,3,2,1,661,4000
asa-norte,65,1,1,1,296,940
asa-norte,34,1,1,,,2300
asa-norte,40,1,1,,400,940
asa-norte,53,1,1,,860,3500
asa-norte,28,1,1,,377,990
asa-norte,110,3,2,1,850,3500
asa-norte,33,1,1,1,,3000
asa-norte,200,3,3,2,1126,7500
asa-norte,74,,,,1998,6084
asa-norte,45,1,1,1,,3850
asa-norte,35,,1,,304,703
asa-norte,28,1,1,1,360,1600
asa-norte,72,2,2,1,570,3200
asa-norte,99,3,2,2,1850,8400
asa-norte,28,1,1,1,298,1300
asa-norte,348,3,3,1,890,5300
asa-norte,65,2,2,,460,2800
asa-norte,45,1,1,,,2980
asa-norte,127,3,3,1,1100,5300
asa-norte,181,3,6,2,1425,8000
asa-norte,178,3,3,1,,8000
asa-norte,27,1,1,1,1200,1105
asa-norte,28,1,1,1,298,850
asa-norte,180,3,4,1,900,4800
asa-norte,37,,,,999,2382
asa-norte,36,1,1,,,1250
asa-norte,96,2,1,1,,9300
asa-norte,122,3,3,1,1200,6500
asa-norte,187,4,3,1,900,5500
asa-norte,25,1,1,1,393,900
asa-norte,35,1,,,750,1400
asa-norte,96,3,3,1,787,4250
asa-norte,155,2,2,2,1714,12000
asa-norte,27,1,1,1,367,1600
asa-norte,119,3,2,1,,5358
asa-norte,90,3,2,,902,2500
asa-norte,33,1,1,1,,3000
asa-norte,35,,1,,304,703
asa-norte,178,3,3,1,,8000
asa-norte,48,1,1,,,3000
asa-norte,96,2,1,1,,9300
asa-norte,27,1,1,1,410,750
asa-norte,100,3,,,1749,8900
asa-norte,35,1,,,750,1400
asa-norte,25,1,1,1,439,1450
asa-norte,36,1,1,,,1450
asa-norte,31,1,,,199,699
asa-norte,28,1,1,,377,990
asa-norte,119,3,2,1,,5358
asa-norte,34,1,1,,245,700
asa-norte,140,4,3,1,1400,4200
asa-norte,27,1,1,1,1200,1105
asa-norte,74,2,2,1,,3300
asa-norte,127,3,1,1,990,3500
asa-norte,58,1,2,1,1560,2700
asa-norte,34,1,1,,,1280
asa-norte,127,3,1,1,990,3500
asa-norte,73,2,2,2,1315,6600
asa-norte,74,2,2,1,,3300
asa-norte,27,1,1,,200,1225
asa-norte,30,1,1,,330,1550
asa-norte,100,3,,,1749,8900
asa-norte,140,4,4,,2000,6000
asa-norte,79,1,1,1,980,2190
asa-norte,34,1,1,,,1092
asa-norte,272,4,6,3,2440,16000
asa-norte,25,1,1,1,331,900
asa-norte,34,1,1,,245,700
asa-norte,27,1,1,1,410,750
asa-norte,122,3,3,1,1200,6500
asa-norte,34,1,1,,,1280
asa-norte,30,1,1,1,549,2200
asa-norte,38,1,1,1,1200,1220
asa-norte,31,1,,,199,699
asa-norte,28,1,1,1,663,1692
asa-norte,30,1,1,,,2500
asa-norte,134,3,2,2,1700,9000
asa-norte,272,4,6,3,2440,16000
asa-norte,50,1,1,,239,1100
asa-norte,30,1,1,1,453,1000
asa-norte,33,1,1,,200,1100
asa-norte,25,1,1,,389,790
asa-norte,23,,1,1,230,700
asa-norte,30,1,1,,,800
asa-norte,37,1,1,,981,2200
asa-norte,30,1,1,1,557,2200
asa-norte,53,1,1,,859,3041
asa-norte,47,1,1,,310,1600
asa-norte,75,2,2,1,862,6200
asa-norte,140,4,2,1,1450,3800
asa-norte,22,1,1,,222,850
asa-norte,33,1,,1,498,2200
asa-norte,27,1,1,,310,800
asa-norte,35,1,1,,222,850
asa-norte,159,2,3,2,1018,4800
asa-norte,33,1,1,,200,1100
asa-norte,25,1,1,1,408,1200
asa-norte,27,1,1,1,393,1050
asa-norte,37,1,1,,981,2200
asa-norte,30,1,1,1,557,2200
asa-norte,163,4,4,2,1260,7000
asa-norte,90,3,3,,570,3690
asa-norte,130,3,3,1,1260,4100
asa-norte,30,1,1,,360,1000
asa-norte,55,2,2,1,450,2500
asa-norte,53,1,1,1,860,3177
asa-norte,71,1,1,,1490,2500
asa-norte,37,1,,,217,900
asa-norte,51,1,1,1,,2800
asa-norte,28,1,1,1,418,2500
asa-norte,24,1,1,,,1500
asa-norte,25,1,1,1,331,900
asa-norte,26,1,1,,1570,2000
asa-norte,25,1,1,1,355,1200
asa-norte,28,1,1,,333,800
asa-norte,33,1,1,,372,900
asa-norte,91,3,2,1,850,5000
asa-norte,27,1,1,,240,1400
asa-norte,50,1,1,,,2600
asa-norte,162,5,4,1,640,7000
asa-norte,144,4,4,2,1248,7000
asa-norte,25,1,1,1,300,1200
asa-norte,51,1,1,,,2950
asa-norte,65,1,1,1,423,950
asa-norte,51,1,1,,,2200
asa-norte,41,1,1,,250,800
asa-norte,131,3,2,1,1150,4650
asa-norte,55,2,1,,436,2500
asa-norte,29,1,1,,,2500
asa-norte,53,1,,,859,3300
asa-norte,74,2,2,1,,3300
asa-norte,35,1,1,,210,650
asa-norte,51,1,1,,1490,2900
asa-norte,130,3,3,1,1100,4500
asa-norte,20,1,1,,150,1150
asa-norte,140,3,3,1,1100,3500
asa-norte,30,1,1,1,320,1100
asa-norte,27,1,1,1,324,1100
asa-norte,73,2,3,2,746,4100
asa-norte,30,1,1,,372,850
asa-sul,28,1,1,,223,1100
asa-sul,28,1,1,,223,700
asa-sul,27,1,1,,388,900
asa-sul,60,3,2,1,980,2000
asa-sul,42,1,1,,450,1200
asa-sul,154,3,1,1,1200,3700
asa-sul,34,1,1,,370,1200
asa-sul,54,2,1,,350,1800
asa-sul,157,3,3,1,1085,5500
asa-sul,250,4,2,2,1500,6000
asa-sul,146,3,3,1,850,5700
asa-sul,256,4,4,2,1700,9000
asa-sul,28,1,1,1,233,1500
asa-sul,200,4,5,2,2036,8000
asa-sul,72,2,2,,955,2500
asa-sul,35,1,1,1,370,1980
asa-sul,42,1,1,,368,900
asa-sul,93,3,2,,730,3000
asa-sul,256,5,5,2,1700,9000
asa-sul,250,4,3,2,1900,6600
asa-sul,120,3,2,,1023,4500
asa-sul,63,2,2,1,527,3300
asa-sul,24,1,1,,288,900
asa-sul,36,1,1,1,370,1500
asa-sul,100,1,,1,,13000
asa-sul,54,1,1,,,2950
asa-sul,63,1,1,1,1380,4100
asa-sul,30,1,1,,,3900
asa-sul,48,2,1,,550,2390
asa-sul,30,1,1,,900,3000
asa-sul,38,1,1,1,370,1400
asa-sul,160,3,3,1,890,6000
asa-sul,145,3,2,,885,3990
asa-sul,155,3,1,,520,2800
asa-sul,80,2,3,1,979,2900
asa-sul,161,2,2,,1440,3500
asa-sul,45,1,1,,355,1600
asa-sul,144,4,2,1,1100,5500
asa-sul,140,3,4,2,1500,5000
asa-sul,120,3,2,,859,4200
asa-sul,158,3,,1,1100,6200
asa-sul,56,1,1,,355,1600
asa-sul,100,3,3,1,,3900
asa-sul,35,1,1,1,370,1980
asa-sul,175,2,3,1,775,9500
asa-sul,28,1,1,,280,1500
asa-sul,56,2,1,,293,1300
asa-sul,256,5,5,2,1700,9000
asa-sul,130,3,3,1,850,4800
asa-sul,235,4,4,2,1830,8000
asa-sul,30,1,1,,1700,1232
asa-sul,48,1,1,1,1150,2700
asa-sul,112,3,2,,859,4200
asa-sul,117,4,4,1,1100,4600
asa-sul,264,4,3,,1700,6000
asa-sul,160,3,2,1,1350,8000
asa-sul,30,1,1,1,,1400
asa-sul,154,4,3,,1200,4000
asa-sul,200,4,2,1,1390,5300
asa-sul,36,1,1,,381,1550
asa-sul,256,4,1,2,1700,9000
asa-sul,240,4,4,,1900,6500
asa-sul,90,2,2,,405,2200
asa-sul,157,,3,4,,10000
asa-sul,235,4,4,2,1830,8000
asa-sul,29,1,1,1,329,1250
asa-sul,36,1,1,,381,1550
asa-sul,150,,,,,13578
asa-sul,140,3,1,1,1400,6300
asa-sul,135,2,2,,900,3300
asa-sul,86,,1,,909,5000
asa-sul,167,3,3,4,,7800
asa-sul,140,3,2,,1060,5500
asa-sul,240,4,4,,1900,6500
asa-sul,35,1,1,,380,750
asa-sul,165,3,1,1,930,4250
asa-sul,228,,2,6,4217,19550
asa-sul,35,,1,,230,1550
asa-sul,180,,2,4,3428,15450
asa-sul,713,,,14,3501,69000
asa-sul,30,1,1,1,326,1200
asa-sul,250,4,3,2,1900,6600
asa-sul,12,,,1,,300
asa-sul,135,4,3,,800,4000
asa-sul,35,,1,,463,1100
asa-sul,51,,1,,1244,2550
asa-sul,12,,,1,145,150
asa-sul,211,4,3,,1020,4800
asa-sul,169,2,3,1,1800,9000
asa-sul,75,2,1,1,610,3500
asa-sul,81,3,2,,425,2350
asa-sul,67,,,,,2500
asa-sul,200,4,2,1,1390,5300
asa-sul,256,4,1,2,1700,9000
asa-sul,105,,,,,5500
asa-sul,100,,2,,1007,2173
asa-sul,52,,1,1,728,6900
asa-sul,151,4,3,,1200,4000
asa-sul,2931,,16,40,35216,145000
asa-sul,30,,1,,650,2000
asa-sul,89,1,1,1,850,4500
asa-sul,245,4,,2,2735,8000
asa-sul,126,4,3,1,1110,6500
asa-sul,33,,1,,300,900
asa-sul,154,,2,,2171,6000
asa-sul,153,,3,,3571,9000
asa-sul,560,,10,,,18000
asa-sul,339,,5,3,5618,24000
asa-sul,30,,2,1,680,900
asa-sul,72,2,2,,955,2500
asa-sul,33,,1,,319,1500
asa-sul,34,,1,1,676,1900
asa-sul,112,3,3,1,900,3500
asa-sul,70,,1,,,6500
asa-sul,153,,2,,2008,10500
asa-sul,35,,1,,,500
asa-sul,543,,8,,11307,39958
asa-sul,53,1,,,900,2000
asa-sul,30,,1,,533,1200
asa-sul,48,1,1,1,1150,2700
asa-sul,126,3,3,1,,9500
asa-sul,68,,,,334,1250
asa-sul,165,3,1,1,930,4250
asa-sul,32,,1,,316,850
asa-sul,730,,,,1420,24000
asa-sul,154,,2,,2171,6000
asa-sul,60,2,2,,430,2200
asa-sul,208,4,1,2,1479,6500
asa-sul,85,2,1,,740,2750
asa-sul,100,3,3,1,1050,5500
asa-sul,63,2,2,1,527,3300
asa-sul,54,2,1,,340,2700
asa-sul,54,2,1,,300,1450
asa-sul,40,1,1,1,1000,2500
asa-sul,74,1,1,1,980,2450
asa-sul,45,1,1,,293,1800
asa-sul,25,1,1,1,306,1200
asa-sul,137,3,2,,1000,6000
asa-sul,131,3,3,1,1054,3950
asa-sul,70,3,2,,1000,3100
asa-sul,44,1,1,,298,1600
asa-sul,35,1,1,,,3000
asa-sul,247,4,4,2,2100,12800
asa-sul,150,3,,1,1000,5300
asa-sul,27,1,1,1,323,1150
asa-sul,136,3,3,1,980,3850
asa-sul,160,3,3,,1340,5100
asa-sul,30,1,1,,,3900
asa-sul,148,2,2,,1300,4000
asa-sul,161,3,,,1100,7500
asa-sul,25,1,1,1,266,1300
asa-sul,40,1,1,1,1100,2700
asa-sul,203,4,5,2,1900,11500
asa-sul,237,3,4,2,1700,10500
asa-sul,1,2,1,,690,2000
asa-sul,85,3,3,1,855,4100
asa-sul,40,,1,1,,4500
asa-sul,133,3,3,,,4500
asa-sul,32,1,1,,,4000
asa-sul,120,3,2,1,1050,5100
asa-sul,120,3,2,1,1045,3000
asa-sul,35,1,2,,400,1200
asa-sul,55,1,1,,,1400
asa-sul,48,1,1,1,,4250
asa-sul,50,1,1,,,3050
asa-sul,36,1,1,1,370,1500
asa-sul,41,1,1,1,,3600
asa-sul,37,1,1,,310,1700
asa-sul,55,2,1,,403,2000
asa-sul,83,3,1,,350,3300
asa-sul,160,4,3,2,1300,5000
asa-sul,70,2,1,,720,2200
asa-sul,380,5,3,2,1700,8000
asa-sul,26,1,1,1,291,1600
asa-sul,105,3,1,,1105,3800
asa-sul,64,1,1,1,1100,2900
asa-sul,161,3,3,,1040,4100
asa-sul,132,3,3,,850,5600
asa-sul,184,3,1,1,1050,4000
asa-sul,75,2,1,1,865,2500
asa-sul,24,1,1,1,238,1450
asa-sul,35,1,1,,,3000
asa-sul,150,3,3,,1350,4000
asa-sul,126,3,3,1,1419,4000
asa-sul,112,3,3,1,938,3800
asa-sul,230,4,4,2,1564,6900
asa-sul,89,3,,1,914,4500
asa-sul,50,2,1,,420,2300
asa-sul,40,,1,,,1300
ceilandia,52,2,1,1,368,1380
ceilandia,120,3,2,3,,1300
ceilandia,150,,1,,,1700
ceilandia,120,3,2,2,,1300
ceilandia,121,2,2,,,1400
ceilandia,61,2,2,1,380,1350
ceilandia,2192,,,,,10000
ceilandia,57,,1,,300,1000
ceilandia,80,2,1,1,,1500
ceilandia,75,2,,,,900
ceilandia,151,3,2,2,,2500
ceilandia,20,,,,,2000
ceilandia,300,,,,,6000
ceilandia,37,,,,,1000
ceilandia,40,1,1,,,600
ceilandia,83,,1,,,2500
ceilandia,40,1,1,,,450
ceilandia,40,1,1,,,450
ceilandia,116,,2,,1300,4000
ceilandia,65,,2,,,3273
ceilandia,70,2,1,,,900
ceilandia,70,2,1,,,900
ceilandia,116,,2,,1300,4000
ceilandia,57,,1,,300,1400
ceilandia,40,1,1,,,450
ceilandia,110,3,2,1,,1020
ceilandia,65,,2,,,3273
ceilandia,54,2,2,,402,1450
ceilandia,25,,1,,50,1250
ceilandia,300,,3,,,5000
ceilandia,33,1,1,,70,750
ceilandia,40,1,1,,,600
ceilandia,40,1,1,1,,550
ceilandia,150,,3,,,5000
ceilandia,116,,2,,400,5800
ceilandia,40,1,1,,,800
ceilandia,250,6,6,3,,2500
ceilandia,60,2,1,1,337,1000
ceilandia,26,1,1,,,450
ceilandia,170,,1,,,1200
ceilandia,120,3,2,4,,1400
ceilandia,40,1,1,,65,500
ceilandia,25,,,,,1000
ceilandia,80,,1,,,1300
ceilandia,50,2,1,1,,700
ceilandia,300,,,,,6000
